"CUADRO No .-13
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR USO Y TIPO DE COMBUSTIBLE, SEGÚN PROVINCIAS",,,,,,,,,
,,,,,,,,,
,,,,,,,,,ÍNDICE>>
PROVINCIA,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
,GAS LIQUADO DE PETRÓLEO, 21 , 21 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 36 , 31 , 1 , -   , -   , -   , 4 ,
,,,,,,,,,
MORONA SANTIAGO,TOTAL," 11,305 "," 9,610 "," 1,153 ", 399 , 106 , 37 , -   ,
,DIESEL," 1,960 "," 1,146 ", 540 , 189 , 65 , 20 , -   ,
,GASOLINA," 9,339 "," 8,459 ", 613 , 209 , 41 , 17 , -   ,
,HÍBRIDO, 2 , 2 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 1 , -   , -   , 1 , -   , -   , -   ,
,NO REGISTRADO, 3 , 3 , -   , -   , -   , -   , -   ,
,,,,,,,,,
NAPO,TOTAL," 7,558 "," 6,314 ", 891 , 271 , 57 , 24 , 1 ,
,DIESEL," 1,327 ", 622 , 491 , 152 , 45 , 17 , -   ,
,GASOLINA," 6,226 "," 5,688 ", 400 , 119 , 12 , 7 , -   ,
,HÍBRIDO, 2 , 2 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 3 , 2 , -   , -   , -   , -   , 1 ,
,,,,,,,,,
PASTAZA,TOTAL," 9,814 "," 8,110 "," 1,026 ", 556 , 66 , 55 , 1 ,
,DIESEL," 1,774 ", 821 , 562 , 293 , 51 , 47 , -   ,
,GASOLINA," 8,029 "," 7,279 ", 464 , 263 , 15 , 8 , -   ,
,HÍBRIDO, 8 , 8 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 1 , 1 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 2 , 1 , -   , -   , -   , -   , 1 ,
,,,,,,,,,
PICHINCHA,TOTAL," 492,568 "," 455,509 "," 23,215 "," 12,043 "," 1,778 ", 19 , 4 ,
,DIESEL," 54,366 "," 38,427 "," 11,261 "," 4,221 ", 451 , 6 , -   ,
,GASOLINA," 435,330 "," 414,231 "," 11,944 "," 7,812 "," 1,327 ", 13 , 3 ,
,HÍBRIDO," 2,393 "," 2,392 ", -   , 1 , -   , -   , -   ,
,ELÉCTRICO, 17 , 17 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 158 , 152 , 5 , 1 , -   , -   , -   ,
,NO REGISTRADO, 304 , 290 , 5 , 8 , -   , -   , 1 ,
,,,,,,,,,
TUNGURAHUA,TOTAL," 87,752 "," 78,270 "," 8,331 ", 799 , 327 , 24 , 1 ,
,DIESEL," 11,818 "," 7,088 "," 4,334 ", 251 , 139 , 6 , -   ,
,GASOLINA," 75,695 "," 70,950 "," 3,993 ", 548 , 185 , 18 , 1 ,
,HÍBRIDO, 198 , 196 , -   , -   , 2 , -   , -   ,
,ELÉCTRICO, 9 , 8 , 1 , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 30 , 26 , 3 , -   , 1 , -   , -   ,
,NO REGISTRADO, 2 , 2 , -   , -   , -   , -   , -   ,
,,,,,,,,,
ZAMORA CHINCHIPE,TOTAL," 6,593 "," 5,422 ", 801 , 308 , 53 , 9 , -   ,
,DIESEL," 1,427 ", 779 , 438 , 165 , 37 , 8 , -   ,
,GASOLINA," 5,158 "," 4,635 ", 363 , 143 , 16 , 1 , -   ,
,HÍBRIDO, 5 , 5 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 1 , 1 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 2 , 2 , -   , -   , -   , -   , -   ,
,,,,,,,,,
GALAPAGOS,TOTAL," 1,541 "," 1,302 ", 192 , 47 , -   , -   , -   ,
,DIESEL, 223 , 148 , 60 , 15 , -   , -   , -   ,
,GASOLINA," 1,317 "," 1,154 ", 132 , 31 , -   , -   , -   ,
,HÍBRIDO, 1 , -   , -   , 1 , -   , -   , -   ,
,,,,,,,,,
SUCUMBIOS,TOTAL," 22,021 "," 20,333 "," 1,206 ", 286 , 140 , 56 , -   ,
,DIESEL," 3,031 "," 2,021 ", 709 , 173 , 82 , 46 , -   ,
,GASOLINA," 18,981 "," 18,303 ", 497 , 113 , 58 , 10 , -   ,
,HÍBRIDO, 2 , 2 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 4 , 4 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 3 , 3 , -   , -   , -   , -   , -   ,
,,,,,,,,,
ORELLANA,TOTAL," 15,329 "," 13,736 "," 1,298 ", 242 , 31 , 22 , -   ,
,DIESEL," 2,768 "," 1,901 ", 689 , 146 , 21 , 11 , -   ,
,GASOLINA," 12,553 "," 11,827 ", 609 , 96 , 10 , 11 , -   ,
,HÍBRIDO, 5 , 5 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 1 , 1 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 2 , 2 , -   , -   , -   , -   , -   ,
,,,,,,,,,
SANTO DOMINGO DE LOS TSACHILAS,TOTAL," 61,886 "," 56,637 "," 4,015 "," 1,074 ", 145 , 15 , -   ,
,DIESEL," 7,320 "," 4,929 "," 1,853 ", 461 , 65 , 12 , -   ,
,GASOLINA," 54,486 "," 51,628 "," 2,162 ", 613 , 80 , 3 , -   ,
,HÍBRIDO, 33 , 33 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 24 , 24 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 23 , 23 , -   , -   , -   , -   , -   ,
,,,,,,,,,
SANTA ELENA,TOTAL," 22,281 "," 20,017 "," 1,926 ", 338 , -   , -   , -   ,
