,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
JMC, 808 , -   , -   , 691 , 107 , -   , -   , -   , -   , -   , -   , 10 , -   ,
HERO, 762 , -   , -   , -   , -   , -   , -   , -   , 762 , -   , -   , -   , -   ,
MICARGI, 753 , -   , -   , -   , -   , -   , -   , -   , 753 , -   , -   , -   , -   ,
ORION, 749 , -   , -   , -   , -   , -   , -   , -   , 749 , -   , -   , -   , -   ,
TVS, 745 , -   , -   , -   , -   , -   , -   , -   , 745 , -   , -   , -   , -   ,
LEXUS, 715 , 131 , -   , -   , -   , -   , -   , 584 , -   , -   , -   , -   , -   ,
BYD, 712 , 559 , -   , -   , -   , -   , -   , 153 , -   , -   , -   , -   , -   ,
AUSTIN, 691 , 569 , -   , -   , 122 , -   , -   , -   , -   , -   , -   , -   , -   ,
SSANGYONG, 674 , 4 , -   , 2 , 186 , -   , 54 , 428 , -   , -   , -   , -   , -   ,
HUSSAR, 661 , -   , -   , -   , -   , -   , -   , -   , 661 , -   , -   , -   , -   ,
MAHINDRA, 654 , -   , -   , -   , 652 , -   , -   , 2 , -   , -   , -   , -   , -   ,
SAIC WULING, 618 , -   , -   , -   , 90 , 528 , -   , -   , -   , -   , -   , -   , -   ,
FACTORY, 564 , -   , -   , -   , -   , -   , -   , -   , 564 , -   , -   , -   , -   ,
SCANIA, 556 , -   , 98 , 192 , 61 , -   , -   , -   , -   , 26 , 70 , 83 , 26 ,
LML, 525 , -   , -   , -   , -   , -   , -   , -   , 525 , -   , -   , -   , -   ,
DUCAR, 514 , -   , -   , -   , -   , -   , -   , -   , 514 , -   , -   , -   , -   ,
KINGTON, 506 , -   , -   , -   , -   , -   , -   , -   , 506 , -   , -   , -   , -   ,
PORSCHE, 502 , 203 , -   , -   , -   , -   , -   , 299 , -   , -   , -   , -   , -   ,
FENGCHI, 494 , -   , -   , -   , -   , -   , -   , -   , 494 , -   , -   , -   , -   ,
ZANYA, 470 , -   , -   , -   , -   , -   , -   , -   , 470 , -   , -   , -   , -   ,
JINCHENG, 450 , -   , -   , -   , -   , -   , -   , -   , 450 , -   , -   , -   , -   ,
MAN, 450 , -   , 14 , 94 , -   , -   , -   , -   , -   , 13 , 126 , 203 , -   ,
SINOTRUK, 446 , -   , 160 , 150 , -   , -   , -   , -   , -   , 37 , 39 , 60 , -   ,
VESPA, 440 , -   , -   , -   , -   , -   , -   , -   , 440 , -   , -   , -   , -   ,
JRI, 429 , -   , -   , -   , -   , -   , -   , -   , 429 , -   , -   , -   , -   ,
SUBARU, 426 , 410 , -   , -   , -   , -   , -   , 16 , -   , -   , -   , -   , -   ,
FOTON, 424 , -   , 7 , 186 , 13 , 151 , -   , -   , -   , -   , 37 , 30 , -   ,
BMA, 422 , -   , -   , -   , -   , -   , -   , -   , 422 , -   , -   , -   , -   ,
KOSHIN MOTOR, 419 , -   , -   , -   , -   , -   , -   , -   , 419 , -   , -   , -   , -   ,
FAW, 417 , -   , 30 , 81 , 44 , 249 , -   , -   , -   , -   , -   , 13 , -   ,
KENBO, 400 , -   , -   , -   , -   , -   , -   , -   , 400 , -   , -   , -   , -   ,
TATA, 387 , 239 , -   , 36 , 112 , -   , -   , -   , -   , -   , -   , -   , -   ,
YASAKI, 387 , -   , -   , -   , -   , -   , -   , -   , 387 , -   , -   , -   , -   ,
TIANYE, 376 , -   , -   , -   , 375 , -   , -   , 1 , -   , -   , -   , -   , -   ,
KINLON, 373 , -   , 51 , 1 , -   , 37 , -   , -   , 283 , -   , 1 , -   , -   ,
OKAZAKI, 366 , -   , -   , -   , -   , -   , -   , -   , 366 , -   , -   , -   , -   ,
ASIA, 364 , -   , 27 , 7 , 20 , 286 , -   , 10 , -   , -   , 3 , 11 , -   ,
JINBEI HAISE, 363 , -   , -   , -   , 21 , 328 , -   , -   , -   , -   , -   , -   , 14 ,
HARLEY DAVIDSON, 346 , -   , -   , -   , -   , -   , -   , -   , 346 , -   , -   , -   , -   ,
SAEHAN, 340 , 26 , -   , -   , 314 , -   , -   , -   , -   , -   , -   , -   , -   ,
WILLYS, 312 , -   , -   , -   , 26 , -   , -   , 286 , -   , -   , -   , -   , -   ,
YUTONG, 309 , -   , 309 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
LONGJIA, 295 , -   , -   , -   , -   , -   , -   , -   , 295 , -   , -   , -   , -   ,
DACIA, 290 , 161 , -   , -   , 38 , -   , 64 , 27 , -   , -   , -   , -   , -   ,
AMAZON, 285 , -   , -   , -   , -   , -   , -   , -   , 285 , -   , -   , -   , -   ,
ZX AUTO, 272 , -   , -   , -   , 243 , -   , -   , 29 , -   , -   , -   , -   , -   ,
