,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS EN EL 2015, POR MARCA, SEGÚN MODELO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO,,,,,,,,,,,,,,
GALARDI," 1,650 ", 3 , 24 , 29 , 21 , 3 , 21 , 40 , 221 , 181 , 124 , 333 , 235 , 292 , 123 ,
KAWASAKI," 1,620 ", 149 , 28 , 62 , 114 , 99 , 194 , 625 , 43 , 33 , 31 , 107 , 78 , 57 , -   ,
JIANSHE," 1,542 ", -   , 122 , 244 , 79 , 101 , 252 , 4 , 389 , -   , 164 , -   , 178 , 9 , -   ,
FREIGHTLINER," 1,504 ", 343 , 11 , 15 , 22 , 39 , 153 , 83 , 99 , 142 , 141 , 209 , 153 , 94 , -   ,
VOLVO," 1,478 "," 1,090 ", 29 , 29 , 53 , 48 , 57 , 14 , 24 , 17 , 38 , 17 , 36 , 19 , 7 ,
LAMBORBINI," 1,476 ", -   , -   , -   , 31 , 116 , 190 , 214 , 221 , 378 , 57 , 125 , 121 , 23 , -   ,
AUDI," 1,325 ", 270 , 20 , 20 , 38 , 73 , 101 , 35 , 65 , 91 , 131 , 103 , 140 , 185 , 53 ,
LAND ROVER," 1,311 ", 992 , 13 , 3 , 56 , 39 , 25 , 16 , 16 , 17 , 40 , 32 , 38 , 20 , 4 ,
CHANGHE," 1,286 ", 7 , -   , -   , 36 , 91 , 196 , 199 , 255 , 268 , 58 , 81 , 77 , 18 , -   ,
DODGE," 1,192 ", 699 , 4 , 5 , 3 , 8 , 28 , 28 , 26 , 34 , 53 , 196 , 69 , 39 , -   ,
DONGFENG," 1,090 ", 19 , -   , 34 , 69 , 16 , 27 , 95 , 104 , 88 , 145 , 125 , 157 , 147 , 64 ,
ZOTYE," 1,141 ", -   , -   , -   , -   , 195 , 275 , 178 , 45 , 127 , 212 , 108 , -   , -   , 1 ,
DAYUN," 1,135 ", 8 , -   , 12 , 26 , 4 , -   , -   , 58 , 383 , 145 , 160 , 337 , 1 , 1 ,
GMC," 1,077 ", 967 , 8 , 3 , -   , 1 , 1 , 42 , 35 , 7 , 5 , 3 , 1 , 4 , -   ,
KTM," 1,023 ", 34 , 27 , 20 , 34 , 38 , 50 , 21 , 44 , 29 , 94 , 259 , 289 , 81 , 3 ,
NIMBUS, 954 , -   , -   , -   , -   , 40 , 168 , 198 , 339 , 18 , 13 , 178 , -   , -   , -   ,
DFSK, 926 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 495 , 191 , 240 ,
VYCAST, 874 , 1 , -   , -   , -   , 8 , 62 , 19 , 87 , 199 , 16 , -   , 157 , 325 , -   ,
KINGDOM, 818 , -   , -   , -   , -   , -   , -   , 141 , -   , 184 , 200 , 87 , 165 , 41 , -   ,
JMC, 808 , -   , -   , -   , -   , 115 , 176 , -   , -   , 53 , 45 , 217 , 59 , 143 , -   ,
HERO, 762 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 192 , 332 , 237 , 1 ,
MICARGI, 753 , -   , -   , -   , -   , 37 , 615 , 80 , 2 , -   , 19 , -   , -   , -   , -   ,
ORION, 749 , -   , -   , -   , -   , -   , -   , 3 , -   , 8 , 232 , 191 , 204 , 111 , -   ,
TVS, 745 , -   , -   , -   , -   , -   , -   , -   , 71 , 31 , -   , 48 , 367 , 228 , -   ,
LEXUS, 715 , 38 , 4 , 3 , 3 , 5 , 6 , 12 , 579 , 44 , 2 , 10 , 7 , 2 , -   ,
BYD, 712 , -   , -   , -   , -   , 119 , 1 , -   , 93 , -   , 178 , -   , 55 , 266 , -   ,
AUSTIN, 691 , 691 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SSANGYONG, 674 , 76 , -   , -   , 212 , 120 , 200 , 65 , -   , 1 , -   , -   , -   , -   , -   ,
