,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
AUDI," 1,465 ", 818 , -   , -   , -   , -   , -   , 647 , -   , -   , -   , -   , -   ,
LAND ROVER," 1,299 ", -   , -   , -   , -   , -   , -   ," 1,299 ", -   , -   , -   , -   , -   ,
CHANGHE," 1,366 ", 117 , 1 , 3 , 379 , 864 , 1 , -   , 1 , -   , -   , -   , -   ,
DODGE," 1,216 ", 74 , -   , 47 , 525 , 79 , 44 , 426 , -   , 1 , -   , 5 , 15 ,
DONGFENG," 1,328 ", 49 , 84 , 545 , 265 , 192 , 41 , 12 , -   , 3 , 31 , 88 , 18 ,
ZOTYE," 1,446 ", -   , -   , -   , -   , -   , -   ," 1,446 ", -   , -   , -   , -   , -   ,
DAYUN," 1,677 ", -   , -   , 7 , -   , -   , -   , -   ," 1,662 ", -   , 5 , 3 , -   ,
GMC," 1,083 ", 1 , -   , 66 , 598 , 32 , 3 , 345 , -   , 5 , 6 , 20 , 7 ,
KTM," 1,002 ", -   , -   , -   , -   , -   , -   , -   ," 1,002 ", -   , -   , -   , -   ,
NIMBUS, 959 , -   , -   , -   , -   , -   , -   , -   , 959 , -   , -   , -   , -   ,
DFSK," 1,326 ", -   , -   , -   , -   ," 1,326 ", -   , -   , -   , -   , -   , -   , -   ,
VYCAST," 1,347 ", -   , -   , -   , -   , -   , -   , -   ," 1,347 ", -   , -   , -   , -   ,
KINGDOM, 651 , -   , -   , -   , -   , -   , -   , -   , 651 , -   , -   , -   , -   ,
JMC, 877 , -   , -   , 805 , 64 , -   , -   , -   , -   , -   , -   , 8 , -   ,
HERO," 1,662 ", -   , -   , -   , -   , -   , -   , -   ," 1,662 ", -   , -   , -   , -   ,
MICARGI, 724 , -   , -   , -   , -   , -   , -   , -   , 724 , -   , -   , -   , -   ,
ORION, 674 , -   , -   , -   , -   , -   , -   , -   , 674 , -   , -   , -   , -   ,
TVS," 1,014 ", -   , -   , -   , -   , -   , -   , -   ," 1,014 ", -   , -   , -   , -   ,
LEXUS, 721 , 135 , -   , -   , -   , -   , -   , 586 , -   , -   , -   , -   , -   ,
BYD, 943 , 697 , -   , -   , -   , -   , -   , 246 , -   , -   , -   , -   , -   ,
AUSTIN, 705 , 619 , -   , -   , 86 , -   , -   , -   , -   , -   , -   , -   , -   ,
SSANGYONG, 703 , 3 , -   , -   , 221 , -   , 10 , 469 , -   , -   , -   , -   , -   ,
HUSSAR, 595 , -   , -   , -   , -   , -   , -   , -   , 595 , -   , -   , -   , -   ,
MAHINDRA, 691 , 1 , -   , -   , 688 , -   , -   , 2 , -   , -   , -   , -   , -   ,
SAIC WULING, 601 , -   , -   , -   , 50 , 551 , -   , -   , -   , -   , -   , -   , -   ,
FACTORY, 757 , -   , -   , -   , -   , -   , -   , -   , 757 , -   , -   , -   , -   ,
SCANIA, 724 , -   , 268 , 277 , -   , -   , -   , -   , -   , 14 , 97 , 53 , 15 ,
LML, 620 , -   , -   , -   , -   , -   , -   , -   , 620 , -   , -   , -   , -   ,
DUCAR, 518 , -   , -   , -   , -   , -   , -   , -   , 518 , -   , -   , -   , -   ,
KINGTON, 477 , -   , -   , -   , -   , -   , -   , -   , 477 , -   , -   , -   , -   ,
PORSCHE, 520 , 191 , -   , -   , -   , -   , -   , 329 , -   , -   , -   , -   , -   ,
FENGCHI, 526 , -   , -   , -   , -   , -   , -   , -   , 526 , -   , -   , -   , -   ,
ZANYA, 445 , -   , -   , -   , -   , -   , -   , -   , 445 , -   , -   , -   , -   ,
JINCHENG, 447 , -   , -   , -   , -   , -   , -   , -   , 447 , -   , -   , -   , -   ,
MAN, 551 , -   , 21 , 131 , -   , -   , -   , -   , -   , 15 , 172 , 209 , 3 ,
SINOTRUK, 438 , -   , 160 , 167 , -   , -   , -   , -   , -   , 39 , 40 , 32 , -   ,
VESPA, 467 , -   , -   , -   , -   , -   , -   , -   , 467 , -   , -   , -   , -   ,
JRI, 373 , -   , -   , -   , -   , -   , -   , -   , 373 , -   , -   , -   , -   ,
SUBARU, 457 , 435 , -   , -   , -   , -   , -   , 22 , -   , -   , -   , -   , -   ,
FOTON, 614 , -   , 4 , 220 , 14 , 282 , -   , -   , -   , -   , 65 , 29 , -   ,
BMA, 398 , -   , -   , -   , -   , -   , -   , -   , 398 , -   , -   , -   , -   ,
KOSHIN MOTOR, 427 , -   , -   , -   , -   , -   , -   , -   , 427 , -   , -   , -   , -   ,
FAW, 626 , -   , 36 , 106 , 43 , 417 , -   , 8 , -   , -   , -   , 16 , -   ,
KENBO, 494 , -   , -   , -   , -   , -   , -   , -   , 494 , -   , -   , -   , -   ,
TATA, 443 , 237 , -   , 29 , 139 , 2 , -   , -   , -   , 1 , 17 , 17 , 1 ,
