,,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR  MODELO (AÑO DE FABRICACIÓN), SEGÚN MARCA",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO (AÑO DE FABRICACIÓN),,,,,,,,,,,,,,,
INTERNATIONAL," 3,262 "," 1,404 ", 44 , 53 , 94 , 113 , 131 , 144 , 103 , 112 , 243 , 199 , 311 , 216 , 94 , 1 ,
FORMOSA," 3,163 ", -   , -   , -   , -   , -   , -   , 268 , 456 , 590 , 370 , 528 , 673 , 103 , 175 , -   ,
ISUZU," 2,965 "," 2,946 ", 7 , 4 , 2 , 1 , -   , 1 , -   , 1 , -   , 3 , -   , -   , -   , -   ,
SANYA," 2,972 ", 4 , 5 , 29 , 54 , 142 , 136 , 232 , 273 , 591 , 237 , 147 , 558 , 564 , -   , -   ,
BULTACO," 2,868 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 329 , 81 ," 1,439 ", 641 , 101 , 277 ,
CITROEN," 2,689 ", 271 , 60 , 253 , 206 , 208 , 305 , 54 , 117 , 92 , 162 , 104 , 378 , 162 , 248 , 69 ,
LINGKEN," 2,587 ", 34 , 100 , 347 , 227 , 130 , 71 , 231 , 424 , 438 , 203 , 109 , 124 , 47 , 102 , -   ,
Z1," 2,548 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 367 ," 2,107 ", 74 , -   ,
KEEWAY," 2,212 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 202 ," 1,857 ", 53 , -   , 81 , 19 ,
KENWORTH," 2,760 ", 562 , 18 , 25 , 42 , 36 , 35 , 173 , 148 , 288 , 281 , 348 , 379 , 347 , 78 , -   ,
LIFAN," 2,675 ", 45 , 34 , 97 , 97 , 20 , 200 , 175 , 192 , 319 , 230 , 210 , -   , 955 , 101 , -   ,
SKYGO," 1,727 ", -   , -   , -   , -   , -   , 253 , 11 , -   , -   , 150 , 395 , 642 , 276 , -   , -   ,
GALARDI," 1,587 ", -   , 23 , 29 , 14 , 3 , 21 , 39 , 189 , 159 , 93 , 254 , 198 , 197 , 336 , 32 ,
KAWASAKI," 1,962 ", 149 , 29 , 53 , 104 , 106 , 193 , 540 , 43 , 29 , 78 , 503 , 72 , 50 , 12 , 1 ,
JIANSHE," 1,558 ", -   , 123 , 220 , 63 , 75 , 232 , -   , 390 , -   , 238 , -   , 171 , 31 , 15 , -   ,
FREIGHTLINER," 1,852 ", 432 , 16 , 15 , 23 , 41 , 166 , 89 , 87 , 183 , 177 , 286 , 210 , 127 , -   , -   ,
VOLVO," 1,508 "," 1,081 ", 30 , 32 , 64 , 44 , 51 , 16 , 31 , 20 , 34 , 20 , 37 , 19 , 11 , 18 ,
LAMBORBINI," 1,601 ", -   , -   , -   , 29 , 103 , 184 , 216 , 231 , 392 , 65 , 140 , 147 , 94 , -   , -   ,
AUDI," 1,465 ", 262 , 22 , 22 , 38 , 61 , 104 , 37 , 63 , 101 , 136 , 98 , 149 , 187 , 107 , 78 ,
LAND ROVER," 1,299 ", 956 , 15 , 4 , 55 , 43 , 28 , 20 , 16 , 17 , 46 , 28 , 37 , 21 , 13 , -   ,
CHANGHE," 1,366 ", 5 , -   , -   , 32 , 101 , 205 , 199 , 261 , 293 , 58 , 78 , 91 , 43 , -   , -   ,
DODGE," 1,216 ", 678 , 4 , 5 , 6 , 10 , 28 , 27 , 26 , 35 , 63 , 187 , 88 , 50 , 9 , -   ,
DONGFENG," 1,328 ", 18 , -   , 55 , 64 , 25 , 21 , 102 , 121 , 105 , 160 , 134 , 161 , 157 , 155 , 50 ,
ZOTYE," 1,446 ", -   , -   , -   , -   , 205 , 285 , 174 , 43 , 121 , 218 , 102 , -   , -   , 190 , 108 ,
DAYUN," 1,677 ", -   , -   , 11 , 22 , 8 , -   , -   , 60 , 460 , 210 , 288 , 588 , 25 , 5 , -   ,
GMC," 1,083 ", 974 , 11 , 1 , -   , 1 , 1 , 35 , 35 , 9 , 7 , 3 , 2 , 4 , -   , -   ,
KTM," 1,002 ", 29 , 23 , 18 , 34 , 37 , 51 , 20 , 47 , 26 , 85 , 241 , 265 , 107 , 16 , 3 ,
NIMBUS, 959 , -   , -   , -   , -   , 31 , 163 , 194 , 345 , 19 , 11 , 196 , -   , -   , -   , -   ,
DFSK," 1,326 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 560 , 234 , 532 , -   ,
VYCAST," 1,347 ", -   , -   , -   , -   , 7 , 57 , 15 , 88 , 194 , 40 , -   , 266 , 668 , 12 , -   ,
KINGDOM, 651 , -   , -   , -   , -   , -   , -   , 130 , -   , 153 , 170 , 61 , 119 , 18 , -   , -   ,
JMC, 877 , -   , -   , -   , -   , 117 , 178 , -   , -   , 63 , 50 , 230 , 59 , 155 , 25 , -   ,
HERO," 1,662 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 220 , 481 , 699 , 262 , -   ,
MICARGI, 724 , -   , -   , -   , -   , 35 , 582 , 80 , 4 , -   , 23 , -   , -   , -   , -   , -   ,
ORION, 674 , -   , -   , -   , -   , -   , -   , 3 , -   , 10 , 222 , 166 , 192 , 81 , -   , -   ,
TVS," 1,014 ", -   , -   , -   , -   , -   , -   , -   , 111 , 56 , -   , 60 , 381 , 225 , 175 , 6 ,
LEXUS, 721 , 43 , 5 , 3 , 2 , 3 , 7 , 12 , 575 , 44 , 3 , 12 , 8 , 2 , 2 , -   ,
BYD, 943 , -   , -   , -   , -   , 113 , -   , -   , 93 , -   , 170 , -   , 63 , 350 , 77 , 77 ,
AUSTIN, 705 , 705 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SSANGYONG, 703 , 80 , -   , -   , 226 , 116 , 220 , 60 , -   , 1 , -   , -   , -   , -   , -   , -   ,
HUSSAR, 595 , 14 , 44 , 41 , 184 , 199 , 113 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
MAHINDRA, 691 , 1 , -   , -   , -   , -   , -   , -   , 1 , 69 , 237 , 268 , 102 , 13 , -   , -   ,
SAIC WULING, 601 , -   , -   , -   , -   , 41 , 173 , 387 , -   , -   , -   , -   , -   , -   , -   , -   ,
FACTORY, 757 , -   , -   , -   , -   , -   , -   , 5 , 8 , 2 , 51 , 33 , 134 , 207 , 302 , 15 ,
SCANIA, 724 , 368 , 15 , 19 , 25 , 35 , 6 , 21 , 8 , 19 , 36 , 36 , 18 , 76 , 36 , 6 ,
LML, 620 , 102 , 60 , 53 , 46 , -   , 123 , 33 , -   , -   , -   , 178 , -   , 25 , -   , -   ,
DUCAR, 518 , -   , -   , 118 , 167 , 184 , 49 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
KINGTON, 477 , 21 , 8 , 36 , 81 , -   , 48 , 134 , -   , 149 , -   , -   , -   , -   , -   , -   ,
PORSCHE, 520 , 64 , 12 , 38 , 35 , 16 , 57 , 7 , 7 , 103 , 53 , 38 , 23 , 40 , 23 , 4 ,
FENGCHI, 526 , -   , -   , -   , -   , -   , -   , -   , -   , 526 , -   , -   , -   , -   , -   , -   ,
ZANYA, 445 , -   , -   , -   , -   , 9 , 60 , 109 , 96 , 171 , -   , -   , -   , -   , -   , -   ,
JINCHENG, 447 , 23 , 8 , 33 , 134 , 40 , 56 , 34 , 119 , -   , -   , -   , -   , -   , -   , -   ,
MAN, 551 , 128 , 23 , 23 , 12 , 39 , 26 , 72 , 71 , 25 , 31 , 84 , 4 , 13 , -   , -   ,
SINOTRUK, 438 , -   , -   , -   , -   , 3 , 9 , 4 , -   , 4 , 9 , 36 , 7 , 364 , 2 , -   ,
VESPA, 467 , 248 , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 72 , 113 , 20 , 1 , -   ,
JRI, 373 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24 , 123 , 112 , 114 , -   , -   ,
SUBARU, 457 , 417 , 1 , 2 , 4 , 1 , 3 , 6 , 6 , 7 , 1 , 3 , 1 , 3 , 2 , -   ,
FOTON, 614 , -   , 5 , -   , 30 , 58 , 18 , 17 , -   , 23 , 20 , 42 , 147 , 133 , 112 , 9 ,
BMA, 398 , -   , -   , 20 , 29 , 52 , 63 , 127 , 107 , -   , -   , -   , -   , -   , -   , -   ,
KOSHIN MOTOR, 427 , -   , -   , -   , -   , 14 , 154 , 84 , 137 , 36 , -   , 2 , -   , -   , -   , -   ,
FAW, 626 , 32 , 41 , 55 , 8 , 94 , 6 , -   , -   , -   , -   , -   , -   , 128 , 216 , 46 ,
KENBO, 494 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 494 , -   , -   , -   ,
TATA, 443 , 224 , 108 , -   , 6 , -   , 3 , -   , 1 , 1 , 3 , 11 , 73 , 11 , 2 , -   ,
YASAKI, 398 , -   , -   , 21 , 50 , 109 , 131 , 80 , -   , 7 , -   , -   , -   , -   , -   , -   ,
TIANYE, 379 , -   , -   , -   , -   , -   , -   , -   , -   , 154 , 190 , 35 , -   , -   , -   , -   ,
KINLON, 487 , -   , -   , 42 , 32 , 83 , 86 , 42 , 28 , 60 , 3 , 1 , 2 , 20 , 70 , 18 ,
OKAZAKI, 342 , -   , -   , 24 , 12 , 23 , 152 , 131 , -   , -   , -   , -   , -   , -   , -   , -   ,
ASIA, 393 , 393 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
JINBEI HAISE, 496 , -   , -   , -   , -   , 133 , 125 , 129 , 28 , 3 , 32 , -   , -   , -   , 45 , 1 ,
HARLEY DAVIDSON, 374 , 117 , 9 , 23 , 26 , 18 , 9 , 11 , 9 , 22 , 16 , 30 , 43 , 36 , 5 , -   ,
SAEHAN, 366 , 366 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
WILLYS, 325 , 325 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
LONGJIA, 287 , -   , -   , -   , 39 , 115 , 107 , 26 , -   , -   , -   , -   , -   , -   , -   , -   ,
