,,,,,,,,,,
,,,,,,,,,,
"CUADRO No .-13
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR USO, SEGÚN PROVINCIA Y TIPO DE COMBUSTIBLE ",,,,,,,,,ÍNDICE>>,
PROVINCIA,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS,,
,DIESEL," 12,932 "," 7,962 "," 4,565 ", 249 , 148 , 6 , 2 ,,
,GASOLINA," 73,323 "," 68,548 "," 3,993 ", 563 , 199 , 17 , 3 ,,
,HÍBRIDO, 199 , 197 , -   , -   , 2 , -   , -   ,,
,ELÉCTRICO, 5 , 5 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 10 , 8 , 1 , 1 , -   , -   , -   ,,
,,,,,,,,,,
ZAMORA CHINCHIPE,TOTAL," 5,414 "," 3,992 "," 1,010 ", 287 , 104 , 21 , -   ,,
,DIESEL," 1,297 ", 521 , 550 , 137 , 70 , 19 , -   ,,
,GASOLINA," 4,113 "," 3,467 ", 460 , 150 , 34 , 2 , -   ,,
,HÍBRIDO, 4 , 4 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
GALÁPAGOS,TOTAL," 1,256 ", 876 , 301 , 74 , 5 , -   , -   ,,
,DIESEL, 255 , 144 , 87 , 22 , 2 , -   , -   ,,
,GASOLINA, 992 , 724 , 214 , 51 , 3 , -   , -   ,,
,HÍBRIDO, 1 , -   , -   , 1 , -   , -   , -   ,,
,ELÉCTRICO, 8 , 8 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
SUCUMBÍOS,TOTAL," 25,807 "," 22,545 "," 2,105 ", 865 , 201 , 91 , -   ,,
,DIESEL," 3,786 "," 1,855 "," 1,374 ", 354 , 127 , 76 , -   ,,
,GASOLINA," 22,017 "," 20,686 ", 731 , 511 , 74 , 15 , -   ,,
,HÍBRIDO, 2 , 2 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
ORELLANA,TOTAL," 14,547 "," 11,759 "," 2,155 ", 523 , 75 , 35 , -   ,,
,DIESEL," 3,171 "," 1,624 "," 1,317 ", 150 , 49 , 31 , -   ,,
,GASOLINA," 11,372 "," 10,131 ", 838 , 373 , 26 , 4 , -   ,,
,HÍBRIDO, 3 , 3 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
SANTO DOMINGO DE LOS TSÁCHILAS,TOTAL," 39,769 "," 36,136 "," 2,819 ", 785 , 25 , 4 , -   ,,
,DIESEL," 5,674 "," 3,335 "," 1,944 ", 382 , 11 , 2 , -   ,,
,GASOLINA," 34,074 "," 32,781 ", 875 , 402 , 14 , 2 , -   ,,
,HÍBRIDO, 15 , 15 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 5 , 4 , -   , 1 , -   , -   , -   ,,
,,,,,,,,,,
SANTA ELENA,TOTAL," 23,396 "," 20,975 "," 2,054 ", 340 , 21 , 6 , -   ,,
,DIESEL," 2,612 "," 1,621 ", 814 , 159 , 13 , 5 , -   ,,
,GASOLINA," 20,765 "," 19,335 "," 1,240 ", 181 , 8 , 1 , -   ,,
,HÍBRIDO, 17 , 17 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,,
,GAS LICUADO DE PETRÓLEO, 1 , 1 , -   , -   , -   , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,
,,,,,,,,,,
Nota: La distribución geográfica de las provincias de este cuadro se registra en función del lugar de residencia del propietario del automotor.,,,,,,,,,,
